frame,x_Left_Ankle,y_Left_Ankle,x_Right_big_Toe,y_Right_big_Toe,x_Right_Ankle,y_Right_Ankle,x_Right_Knee,y_Right_Knee,x_Right_Hip,y_Right_Hip,x_Right_Shoulder,y_Right_Shoulder
246,55.61,446.8,110.56,468.71,71.53,456.8,78.08,374.08,81.71,290.31,77.92,173.92
247,54.69,446.72,110.55,468.78,71.78,456.77,77.31,374.65,81.52,290.93,77.89,173.69
248,53.95,447.44,110.87,468.78,72.3,456.52,77.53,374.63,81.5,290.91,77.9,173.8
249,53.24,447.5,110.88,468.84,71.58,456.36,77.1,374.66,81.69,291.12,78.15,173.71
250,53.32,447.37,110.99,468.98,71.58,456.46,77.05,374.66,81.62,290.94,78.37,173.7
251,53.27,447.74,109.69,469.4,71.4,457.06,76.66,375.12,81.41,290.93,78.56,173.44
252,53.12,446.17,110.98,469.19,70.96,456.9,76.88,373.18,81.5,289.82,78.5,173.46
253,53.18,446.73,109.75,469.48,70.9,456.8,75.9,373.29,81.55,289.6,78.62,173.48
254,53.22,446.07,111.07,469.59,70.8,456.86,76.69,372.31,81.46,288.91,78.77,173.43
255,53.19,444.84,110.81,469.63,70.58,456.62,77.05,370.85,81.93,288.78,78.77,173.44
256,53.93,444.61,110.42,469.27,70.58,456.44,76.38,370.94,82.05,288.4,78.84,173.51
257,56.26,445.3,110.87,469.43,70.77,456.69,77.63,370.47,82.56,288.61,78.64,173.73
258,57.74,447.87,111.26,469.33,71.27,457.48,76.43,371.52,83.06,288.56,78.47,173.54
259,61.29,449.53,110.67,468.55,71.14,456.71,76.67,373.2,83.06,288.62,78.12,173.6
260,66.28,449.67,111.22,468.47,71.87,456.27,77.13,373.55,82.84,289.7,78.08,173.8
261,77.37,451.45,107.86,470.02,70.85,457.8,77.41,371.94,82.35,292.28,77.58,173.62
262,80.9,448.24,107.39,471.27,70.95,457.8,78.28,373.19,82.24,292.01,77.46,173.76
263,85.93,447.67,108.32,471.22,70.82,457.39,79.3,373.52,82.35,291.28,77.43,173.7
264,91.69,447.95,108.06,471.5,70.61,457.13,79.69,372.98,82.18,291.98,77.23,173.29
265,97.83,448.55,107.72,470.31,71.15,457.82,80.06,372.29,82.14,291.22,77.31,173.52
266,104.34,448.65,107.33,470.02,71.7,458.34,81.79,372.54,81.44,286.59,76.61,175
267,111.81,448.85,108,469.65,71.29,457.95,83.98,372.86,82.01,287.04,76.46,174.82
268,118.69,448.57,109.29,469.27,72.45,458.17,87.27,372.63,81.64,287.27,76.24,175.87
269,124.86,446.88,109.64,469.11,72.44,457.64,88.6,372.87,82.98,287.78,76.28,175.71
270,131.61,446.56,109.98,468.99,72.64,457.41,92.01,373.25,81.15,291.86,75.92,176.68
271,137.34,446.05,109.82,469.14,72.92,457.62,95.72,374.03,80.35,292.54,75.17,178.39
272,143.26,445.12,110.46,468.83,73.91,457.75,99.12,376.62,81.14,293.84,75.29,180.25
273,149.18,445.2,110.68,469.08,73.73,456.84,101.86,377.72,82.86,297.11,74.66,181.89
